Identifiant station;Nom station;Station en fonctionnement;Capacité de la station;Nombre bornettes libres;Nombre total vélos disponibles;Vélos mécaniques disponibles;Vélos électriques disponibles;Borne de paiement disponible;Retour vélib possible;Actualisation de la donnée;Coordonnées géographiques;Nom communes équipées;Code INSEE communes équipées;station_opening_hours
42706;Roger Salengro - Fontainebleau;OUI;25;13;9;2;7;OUI;OUI;2025-10-24T18:57:17+00:00;48.814548697325, 2.3611663654447;Le Kremlin-Bicêtre;94043;
17203;Place de la Porte de Champeret;OUI;28;16;11;9;2;OUI;OUI;2025-10-24T18:58:45+00:00;48.886062068226, 2.2917001576821;Paris;75056;
44006;Concorde - Stalingrad;OUI;35;13;20;5;15;OUI;OUI;2025-10-24T18:58:30+00:00;48.7985844, 2.3821302;Vitry-sur-Seine;94081;
42014;Place Marcel Cachin;OUI;32;11;21;19;2;OUI;OUI;2025-10-24T18:53:19+00:00;48.81411442356866, 2.39090770483017;Ivry-sur-Seine;94041;
19120;Carducci - Place Hannah Arendt;OUI;27;22;1;1;0;OUI;OUI;2025-10-24T18:55:39+00:00;48.877436681515796, 2.3860743641853337;Paris;75056;
4016;Lobau - Hôtel de Ville;OUI;60;60;0;0;0;NON;NON;2025-10-24T18:57:59+00:00;48.8562118, 2.3532536;Paris;75056;
11113;Richard Lenoir - Republique;OUI;58;23;35;25;10;OUI;OUI;2025-10-24T18:57:23+00:00;48.8667175, 2.3692541;Paris;75056;
8045;Place de la Reine Astrid;OUI;58;32;23;21;2;OUI;OUI;2025-10-24T18:56:54+00:00;48.864920982538, 2.3025491823859;Paris;75056;
43008;Fontenay - Libération;OUI;25;12;9;7;2;OUI;OUI;2025-10-24T18:58:33+00:00;48.847803063647, 2.4451419711113;Vincennes;94080;
5028;Censier - Jardin des Plantes;OUI;28;13;15;13;2;OUI;OUI;2025-10-24T18:56:13+00:00;48.84107178161383, 2.355475388467312;Paris;75056;
5018;Mutualité;OUI;37;17;19;17;2;OUI;OUI;2025-10-24T18:58:58+00:00;48.848225572724, 2.3502873256803;Paris;75056;
22203;Tertres - Fontaine;OUI;28;27;1;1;0;OUI;OUI;2025-10-24T18:56:37+00:00;48.787553654715644, 2.306235730648041;Bagneux;92007;
19101;Square Simon Bolivar;OUI;24;16;6;2;4;OUI;OUI;2025-10-24T18:56:14+00:00;48.875089888322, 2.3826304078102;Paris;75056;
42021;Raspail - Manufacture des Oeillets;OUI;32;4;28;21;7;OUI;OUI;2025-10-24T18:57:54+00:00;48.8094458, 2.3903009;Ivry-sur-Seine;94041;
